地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
松が谷,収集地区19,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150107,隔月20150112,火 金,隔水20150107,隔水20150107
松木,収集地区13,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150114,隔金20150116,月 木,隔火20150106,隔火20150106
丸山町,収集地区18,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150107,隔月20150119,火 金,隔水20150114,隔水20150114
三崎町,収集地区17,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150114,隔月20150112,月 木,隔水20150107,隔水20150107
みつい台１〜２丁目,収集地区6,火,隔月20150105,隔水20150107,隔水20150114,隔木20150108,隔木20150108,隔木20150108,隔水20150107,隔水20150121,火 金,隔金20150116,隔金20150116
緑町,収集地区3,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140108,隔火20140114,火 金,隔木20140109,隔木20140109
南浅川町,収集地区10,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150109,隔金20150109,隔水20150107,隔木20150122,火 金,隔月20150112,隔月20150112
南大沢１〜3丁目,収集地区12,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140115,隔金20140117,月 木,隔火20140107,隔火20140107
南大沢4〜5丁目,収集地区1,月,隔金20150109,隔火20150106,隔火20150114,隔水20150107,隔水20150107,隔水20150107,隔水20150114,隔火20150120,月 木,隔木20150115,隔木20150115
南新町,収集地区8,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150198,隔金20150109,隔水20150114,隔木20150122,月 木,隔月20150112,隔月20150112
みなみ野１〜６丁目,収集地区4,火,隔月20150105,隔水20150107,隔水20150114,隔木20150108,隔木20150108,隔木20150108,隔水20150114,隔水20150121,月 木,隔金20150116,隔金20150116
南町,収集地区16,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150114,隔月20150119,月 木,隔水20150114,隔水20150114
宮下町,収集地区7,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,火 金,隔金20150109,隔金20150109
美山町,収集地区1,月,隔金20150109,隔火20150106,隔火20150114,隔水20150107,隔水20150107,隔水20150107,隔水20150114,隔火20150120,月 木,隔木20150115,隔木20150115
明神町１〜４丁目,収集地区16,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150114,隔月20150119,月 木,隔水20150114,隔水20150114
めじろ台１〜４丁目,収集地区3,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140108,隔火20140114,火 金,隔木20140109,隔木20140109
